"place_id","name","latitude","longitude","people","fieldtrips__fieldtrip_id____001","fieldtrips__fieldtrip_id____002","fieldtrips__fieldtrip_id____003","fieldtrips__fieldtrip_id____004","fieldtrips__fieldtrip_id____005","fieldtrips__fieldtrip_id____006","fieldtrips__fieldtrip_id____007","people__person__person_id","people__person__relationship","people__person__full_name","people__person__last_name","people__person__first_name","people__person__gender","people__person__core_informant","people__person__image","people__person__url","people__person__residence_place","people__person__residence_place__place_id","people__person__residence_place__name","fieldtrips","fieldtrips__fieldtrip_id"
"157","Firhøj","55.5793","12.2196","null","","","","","","","","","","","","","","","","","","","","null",""
"776","Fjellerup","56.5089","10.5861","","","","","","","","","483","told stories here","Ane Katrine Nielsdatter","Nielsdatter","Ane Katrine","N/A","null","","data/informants/483.dfl","","776","Fjellerup","null",""
"158","Fladbro","56.4482","9.96288","null","","","","","","","","","","","","","","","","","","","","null",""
"777","Flade, Mors","56.8909","8.79596","","","","","","","","","325","told stories here","Niels Krist. Andersen","Andersen","Niels Krist.","N/A","null","","data/informants/325.dfl","","777","Flade, Mors","null",""
"159","Flavenskjold kro","57.2526","10.2897","null","","","","","","","","","","","","","","","","","","","","","11"
"160","Flensborg","54.7865","9.43782","null","","","","","","","","","","","","","","","","","","","","null",""
"161","Flensted","56.1521","9.78584","null","","","","","","","","","","","","","","","","","","","","null",""
"162","Flensted mark","56.1503","9.8238","null","","","","","","","","","","","","","","","","","","","","null",""
"166","Flovtrup","56.7897","9.08006","null","","","","","","","","","","","","","","","","","","","","null",""
"163","Fløjstrup","56.4133","10.2689","null","","","","","","","","","","","","","","","","","","","","null",""
"164","Fløø","56.8664","9.7951","null","","","","","","","","","","","","","","","","","","","","null",""
"167","Foulum","56.7347","9.27024","null","","","","","","","","","","","","","","","","","","","","","15"
"169","Fovlumkjær","56.498","9.58314","null","","","","","","","","","","","","","","","","","","","","null",""
"1064","Frankerup","55.6359","11.2002","null","","","","","","","","","","","","","","","","","","","","null",""
"170","Fredbjærg","56.8085","9.29411","","","","","","","","","112","told stories here","Niels Kristian (Pilmanden) Jensen","Jensen","Niels Kristian","m","null","","data/informants/112.dfl","","170","Fredbjærg","","6"
"171","Frederikshavn","57.4363","10.5242","null","","","","","","","","","","","","","","","","","","","","","11"
"172","Freggelund","56.8134","9.93955","null","","","","","","","","","","","","","","","","","","","","null",""
"173","Frejlev","57.0013","9.82022","null","","","","","","","","","","","","","","","","","","","","","8"
"929","Frisenborg","56.2642","9.89111","null","","","","","","","","","","","","","","","","","","","","null",""
"1040","Fristrup enge","57.1379","9.70582","null","","","","","","","","","","","","","","","","","","","","null",""
"174","Fuldbro","56.0262","9.83594","null","","","","","","","","","","","","","","","","","","","","null",""
"175","Fuldbro mølle","56.0245","9.8344","","2","16","","","","","","123","told stories here","Peder Johansen","Johansen","Peder","m","1","data/informants/123.jpg","data/informants/123.dfl","","175","Fuldbro mølle","",""
"176","Funder","56.1502","9.47243","null","","","","","","","","","","","","","","","","","","","","null",""
"177","Fyn","55.3513","10.3903","null","","","","","","","","","","","","","","","","","","","","null",""
"178","Fynshoved","55.6167","10.5936","null","","","","","","","","","","","","","","","","","","","","null",""
"771","Fårbæk","56.3891","8.99743","","","","","","","","","519","told stories here","Lærer H. Petersen","Petersen","H.","N/A","null","","data/informants/519.dfl","","771","Fårbæk","null",""
"772","Fårdrup","55.3208","11.343","","","","","","","","","379","told stories here","Lærer Mads Hansen","Hansen","Mads","N/A","null","","data/informants/379.dfl","","772","Fårdrup","null",""
"150","Fårehus","55.0922","9.34006","null","","","","","","","","","","","","","","","","","","","","null",""
"151","Fåresø","56.0301","9.70168","null","","","","","","","","","","","","","","","","","","","","null",""
"773","Fårup","56.3633","9.54445","","","","","","","","","480","told stories here","Seminarist Niels Kr. Møller","Møller","Niels Kr.","N/A","null","","data/informants/480.dfl","","773","Fårup","null",""
"769","Fælsted","54.9808","9.50396","","","","","","","","","376","told stories here","Lorens Hansen","Hansen","Lorens","N/A","null","","data/informants/376.dfl","","769","Fælsted","null",""
"179","Gaaseby","57.0135","10.1831","null","","","","","","","","","","","","","","","","","","","","","11"
"180","Gadbjærg","55.7635","9.31548","null","","","","","","","","","","","","","","","","","","","","","16"
"181","Galgebanke","55.9176","9.71498","null","","","","","","","","","","","","","","","","","","","","null",""
"182","Galgeknolden","56.2651","10.3206","null","","","","","","","","","","","","","","","","","","","","null",""
