"place_id","name","display_name","latitude","longitude","stories__story__story_id","stories__story__fieldtrip_id","stories__story__publication_info","stories__story__informant__id","stories__story__full_name","stories__story__place_recorded__id"
"","","","","","907","null","JAH_II_412","397","397 - 0.00 - JAH_II_412","853"
"","","","","","909","null","JAH_II_414","568","568 - 0.00 - JAH_II_414","436"
"","","","","","734","null","DS_II_B_20","414","414 - 0.00 - DS_II_B_20","886"
"123","Dragstrup sige","Dragstrup sige: mentioned in 1 story","57.0098","9.86134","130","5","DS_III_445","150","150 - 4.19 - DS_III_445","147"
"611","Suldrup","Suldrup: mentioned in 1 story","56.8519","9.70282","130","5","DS_III_445","150","150 - 4.19 - DS_III_445","147"
"241","Harridslev","Harridslev: mentioned in 1 story","56.5011","10.1304","142","11","DS_IV_1027","241","241 - 1.01 - DS_IV_1027","306"
"539","Skjern","Skjern: mentioned in 2 stories","57.3329","10.2147","143","11","DS_VII_285","241","241 - 1.02 - DS_VII_285","306"
"","","","","","736","null","DS_III_2326","345","345 - 0.00 - DS_III_2326","745"
"654","Torslev","Torslev: mentioned in 4 stories","57.352","10.3257","143","11","DS_VII_285","241","241 - 1.02 - DS_VII_285","306"
"","","","","","150","11","DS_IV_948","241","241 - 1.09 - DS_IV_948","306"
"","","","","","167","11","DS_V_859","241","241 - 2.17 - DS_V_859","306"
"","","","","","178","8","DS_VI_1314","241","241 - 4.07 - DS_VI_1314","306"
"78","Borup","Borup: mentioned in 3 stories","57.4013","10.087","145","11","DS_VII_1182","241","241 - 1.04 - DS_VII_1182","306"
"","","","","","206","8","DSnr_I_861","241","241 - 4.34 - DSnr_I_861","306"
"","","","","","471","null","DS_II_D_73","326","326 - 0.00 - DS_II_D_73","873"
"588","Stenbroen","Stenbroen: mentioned in 2 stories","57.3912","10.1974","145","11","DS_VII_1182","241","241 - 1.04 - DS_VII_1182","306"
"","","","","","186","8","DS_VII_491a","241","241 - 4.14 - DS_VII_491a","306"
"629","Tårs","Tårs: mentioned in 10 stories","57.3866","10.117","145","11","DS_VII_1182","241","241 - 1.04 - DS_VII_1182","306"
"","","","","","154","11","DS_IV_1465","241","241 - 2.04 - DS_IV_1465","306"
"","","","","","165","11","DS_IV_687","241","241 - 2.15 - DS_IV_687","306"
"","","","","","171","14","JAT_VI_905","241","241 - 3.01 - JAT_VI_905","306"
"","","","","","172","8","JAT_V_320","241","241 - 4.01 - JAT_V_320","306"
"","","","","","194","8","DSnr_II_D_63","241","241 - 4.22 - DSnr_II_D_63","306"
"","","","","","205","8","DSnr_I_627","241","241 - 4.33 - DSnr_I_627","306"
"","","","","","206","8","DSnr_I_861","241","241 - 4.34 - DSnr_I_861","306"
"","","","","","517","null","DS_III_2316","6","6 - 0.00 - DS_III_2316","384"
"","","","","","701","null","DS_VI_68","378","378 - 0.00 - DS_VI_68","799"
"266","Hjørring","Hjørring: mentioned in 10 stories","57.4591","9.99749","146","11","DS_VII_146","241","241 - 1.05 - DS_VII_146","306"
"","","","","","149","11","DS_V_975","241","241 - 1.08 - DS_V_975","306"
"","","","","","166","11","DS_V_1706","241","241 - 2.16 - DS_V_1706","306"
"","","","","","171","14","JAT_VI_905","241","241 - 3.01 - JAT_VI_905","306"
"","","","","","180","8","DSnr_I_901","241","241 - 4.09 - DSnr_I_901","306"
"","","","","","189","8","DSnr_III_1380","241","241 - 4.17 - DSnr_III_1380","306"
"","","","","","196","8","DSnr_VI_191","241","241 - 4.24 - DSnr_VI_191","306"
"","","","","","203","8","DSnr_II_C_86","241","241 - 4.31 - DSnr_II_C_86","306"
"","","","","","483","null","DS_II_D_48","346","346 - 0.00 - DS_II_D_48","190"
"","","","","","633","null","DS_VII_144","217","217 - 0.00 - DS_VII_144","831"
"37","Astrup","Astrup: mentioned in 4 stories","57.4803","10.097","146","11","DS_VII_146","241","241 - 1.05 - DS_VII_146","306"
"","","","","","188","8","DS_VII_698","241","241 - 4.16 - DS_VII_698","306"
"","","","","","210","8","DSnr_VI_345","241","241 - 4.38 - DSnr_VI_345","306"
"","","","","","577","null","DS_V_900","65","65 - 0.00 - DS_V_900","398"
"698","Vester Vugdrup","Vester Vugdrup: mentioned in 2 stories","57.3832","10.1595","147","11","Unpub_JPP_106","241","241 - 1.06 - Unpub_JPP_106","306"
"","","","","","186","8","DS_VII_491a","241","241 - 4.14 - DS_VII_491a","306"
"417","Mosbjærg","Mosbjærg: mentioned in 2 stories","57.5022","10.2609","148","11","DS_IV_1134","241","241 - 1.07 - DS_IV_1134","306"
"","","","","","191","8","DSnr_IV_574","241","241 - 4.19 - DSnr_IV_574","306"
"38","Åstrup","Åstrup: mentioned in 3 stories","57.4392","9.93612","149","11","DS_V_975","241","241 - 1.08 - DS_V_975","306"
"","","","","","196","8","DSnr_VI_191","241","241 - 4.24 - DSnr_VI_191","306"
"","","","","","216","8","DS_VI_930","241","241 - 4.44 - DS_VI_930","306"
"184","Gammel Vrå","Gammel Vrå: mentioned in 1 story","57.1957","9.92684","151","11","DS_IV_1486","241","241 - 2.01 - DS_IV_1486","306"
"314","Jerslev bro","Jerslev bro: mentioned in 1 story","57.2135","10.0289","151","11","DS_IV_1486","241","241 - 2.01 - DS_IV_1486","306"
"453","Østbjerg bakker","Østbjerg bakker: mentioned in 2 stories","57.1311","10.0091","151","11","DS_IV_1486","241","241 - 2.01 - DS_IV_1486","306"
"","","","","","152","11","DS_IV_1485","241","241 - 2.02 - DS_IV_1485","306"
"672","Tylstrup","Tylstrup: mentioned in 1 story","57.1932","9.94805","151","11","DS_IV_1486","241","241 - 2.01 - DS_IV_1486","306"
"578","Spangerhede","Spangerhede: mentioned in 3 stories","57.4327","10.0657","153","11","DS_IV_1488","241","241 - 2.03 - DS_IV_1488","306"
"","","","","","159","11","DS_IV_1052","241","241 - 2.09 - DS_IV_1052","306"
"","","","","","161","11","DSnr_II_E_105","241","241 - 2.11 - DSnr_II_E_105","306"
"30","Amdal","Amdal: mentioned in 2 stories","56.5383","9.51015","154","11","DS_IV_1465","241","241 - 2.04 - DS_IV_1465","306"
"","","","","","158","11","DS_V_252","241","241 - 2.08 - DS_V_252","306"
"673","Ugilt","Ugilt: mentioned in 16 stories","57.4252","10.1369","154","11","DS_IV_1465","241","241 - 2.04 - DS_IV_1465","306"
"","","","","","157","11","DS_VI_897","241","241 - 2.07 - DS_VI_897","306"
"","","","","","160","11","DS_IV_1592","241","241 - 2.10 - DS_IV_1592","306"
"","","","","","161","11","DSnr_II_E_105","241","241 - 2.11 - DSnr_II_E_105","306"
"","","","","","162","11","DS_IV_1605","241","241 - 2.12 - DS_IV_1605","306"
"","","","","","198","8","DSnr_V_539b","241","241 - 4.26 - DSnr_V_539b","306"
"","","","","","199","8","DSnr_V_539a","241","241 - 4.27 - DSnr_V_539a","306"
"","","","","","200","8","DSnr_V_889","241","241 - 4.28 - DSnr_V_889","306"
"","","","","","201","8","DSnr_III_142","241","241 - 4.29 - DSnr_III_142","306"
"","","","","","202","8","DSnr_IV_996","241","241 - 4.30 - DSnr_IV_996","306"
"","","","","","208","8","DSnr_IV_880","241","241 - 4.36 - DSnr_IV_880","306"
"","","","","","210","8","DSnr_VI_345","241","241 - 4.38 - DSnr_VI_345","306"
"","","","","","517","null","DS_III_2316","6","6 - 0.00 - DS_III_2316","384"
"","","","","","484","null","DS_IV_1594","346","346 - 0.00 - DS_IV_1594","190"
"","","","","","634","null","DS_IV_1591","108","108 - 0.00 - DS_IV_1591","374"
"","","","","","628","null","DS_VI_898","430","430 - 0.00 - DS_VI_898","869"
"43","Baggesvogn","Baggesvogn: mentioned in 3 stories","57.5079","10.1472","155","11","JAT_II_56","241","241 - 2.05 - JAT_II_56","306"
"","","","","","156","11","DSnr_VI_65","241","241 - 2.06 - DSnr_VI_65","306"
"","","","","","192","8","DS_VI_167","241","241 - 4.20 - DS_VI_167","306"
"523","Sindal","Sindal: mentioned in 1 story","57.487","10.1813","155","11","JAT_II_56","241","241 - 2.05 - JAT_II_56","306"
"86","Bragholdt","Bragholdt: mentioned in 4 stories","57.5637","10.1974","156","11","DSnr_VI_65","241","241 - 2.06 - DSnr_VI_65","306"
"","","","","","157","11","DS_VI_897","241","241 - 2.07 - DS_VI_897","306"
